"Label";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Maize, sorghum and rice seeds";"Codes"
"idBank";"010776874";"";"010776874";"";"010776874";"";"010776874";"";"010776874";"";"010776874";"";"010776874";"";"010776874";"";"010776874";"";"010776874";"";"010776874";"";"010776874";"";"010776874";"";"010776874";"";"010776874";"";"010776874";"";"010776874";"";"010776874";"";"010776874";"";"010776874";"";"010776874";"";"010776874";"";"010776874";"";"010776874";"";"010776874";""
"Updates";"31/03/2026 12:00";"";"27/02/2026 12:00";"";"30/01/2026 12:00";"";"19/12/2025 12:00";"";"28/11/2025 12:00";"";"31/10/2025 12:00";"";"30/09/2025 12:00";"";"29/08/2025 12:00";"";"31/07/2025 12:00";"";"27/06/2025 12:00";"";"28/05/2025 12:00";"";"30/04/2025 12:00";"";"28/03/2025 12:00";"";"28/02/2025 12:00";"";"31/01/2025 12:00";"";"04/11/2024 15:48";"";"27/09/2024 12:00";"";"30/08/2024 12:00";"";"31/07/2024 12:00";"";"28/06/2024 12:00";"";"31/05/2024 12:00";"";"30/04/2024 12:00";"";"29/03/2024 12:00";"";"29/02/2024 12:00";"";"01/01/1970 01:00";""
"Period";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2025";"117.3";"A";"117.3";"A";"117.3";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024";"115.9";"A";"115.9";"A";"115.9";"A";"115.9";"A";"115.9";"A";"115.9";"A";"115.9";"A";"115.9";"A";"115.9";"A";"115.9";"A";"115.9";"A";"115.9";"A";"115.9";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023";"114.9";"A";"114.9";"A";"114.9";"A";"114.9";"A";"114.9";"A";"114.9";"A";"114.9";"A";"114.9";"A";"114.9";"A";"114.9";"A";"114.9";"A";"114.9";"A";"114.9";"A";"114.9";"A";"114.9";"A";"114.9";"A";"114.9";"A";"114.9";"A";"114.9";"A";"114.9";"A";"114.9";"A";"114.9";"A";"114.8";"A";"114.8";"A";"114.9";"A"
"2022";"110.9";"A";"110.9";"A";"110.9";"A";"110.9";"A";"110.9";"A";"110.9";"A";"110.9";"A";"110.9";"A";"110.9";"A";"110.9";"A";"110.9";"A";"110.9";"A";"110.9";"A";"110.9";"A";"110.9";"A";"110.9";"A";"110.9";"A";"110.9";"A";"110.9";"A";"110.9";"A";"110.9";"A";"110.9";"A";"110.9";"A";"110.9";"A";"110.9";"A"
"2021";"103.2";"A";"103.2";"A";"103.2";"A";"103.2";"A";"103.2";"A";"103.2";"A";"103.2";"A";"103.2";"A";"103.2";"A";"103.2";"A";"103.2";"A";"103.2";"A";"103.2";"A";"103.2";"A";"103.2";"A";"103.2";"A";"103.2";"A";"103.2";"A";"103.2";"A";"103.2";"A";"103.2";"A";"103.2";"A";"103.2";"A";"103.2";"A";"103.2";"A"
"2020";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A"
"2019";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.6";"A";"99.7";"A";"99.6";"A"
