"Label";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Overall index";"Codes"
"idBank";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";"";"010776857";""
"Updates";"31/03/2026 12:00";"";"27/02/2026 12:00";"";"30/01/2026 12:00";"";"19/12/2025 12:00";"";"28/11/2025 12:00";"";"31/10/2025 12:00";"";"30/09/2025 12:00";"";"29/08/2025 12:00";"";"31/07/2025 12:00";"";"27/06/2025 12:00";"";"28/05/2025 12:00";"";"30/04/2025 12:00";"";"28/03/2025 12:00";"";"28/02/2025 12:00";"";"31/01/2025 12:00";"";"20/12/2024 12:00";"";"29/11/2024 12:00";"";"04/11/2024 15:48";"";"31/10/2024 12:00";"";"27/09/2024 12:00";"";"30/08/2024 12:00";"";"31/07/2024 12:00";"";"28/06/2024 12:00";"";"31/05/2024 12:00";"";"30/04/2024 12:00";"";"29/03/2024 12:00";"";"29/02/2024 12:00";"";"01/01/1970 01:00";""
"Period";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2025";"124.7";"A";"124.7";"A";"124.6";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024";"125.4";"A";"125.4";"A";"125.4";"A";"125.4";"A";"125.4";"A";"125.4";"A";"125.4";"A";"125.4";"A";"125.4";"A";"125.4";"A";"125.4";"A";"125.4";"A";"125.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023";"131.2";"A";"131.2";"A";"131.2";"A";"131.2";"A";"131.2";"A";"131.2";"A";"131.2";"A";"131.2";"A";"131.2";"A";"131.2";"A";"131.2";"A";"131.2";"A";"131.2";"A";"131.2";"A";"131.2";"A";"131.2";"A";"131.2";"A";"131.2";"A";"131.2";"A";"131.2";"A";"131.2";"A";"131.2";"A";"131.2";"A";"131.2";"A";"131.2";"A";"131.0";"A";"131.0";"A";"131.0";"A"
"2022";"133.7";"A";"133.7";"A";"133.7";"A";"133.7";"A";"133.7";"A";"133.7";"A";"133.7";"A";"133.7";"A";"133.7";"A";"133.7";"A";"133.7";"A";"133.7";"A";"133.7";"A";"133.7";"A";"133.7";"A";"133.7";"A";"133.7";"A";"133.7";"A";"133.7";"A";"133.7";"A";"133.7";"A";"133.7";"A";"133.7";"A";"133.7";"A";"133.7";"A";"130.9";"A";"130.9";"A";"130.9";"A"
"2021";"109.2";"A";"109.2";"A";"109.2";"A";"109.2";"A";"109.2";"A";"109.2";"A";"109.2";"A";"109.2";"A";"109.2";"A";"109.2";"A";"109.2";"A";"109.2";"A";"109.2";"A";"109.2";"A";"109.2";"A";"109.2";"A";"109.2";"A";"109.2";"A";"109.2";"A";"109.2";"A";"109.2";"A";"109.2";"A";"109.2";"A";"109.3";"A";"109.3";"A";"108.6";"A";"108.6";"A";"108.6";"A"
"2020";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A"
"2019";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.7";"A";"101.3";"A";"101.3";"A";"101.3";"A"
