"Label";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Sunflower seed (oleic and inoleic)";"Codes"
"idBank";"010776878";"";"010776878";"";"010776878";"";"010776878";"";"010776878";"";"010776878";"";"010776878";"";"010776878";"";"010776878";"";"010776878";"";"010776878";"";"010776878";"";"010776878";"";"010776878";"";"010776878";"";"010776878";"";"010776878";"";"010776878";"";"010776878";"";"010776878";"";"010776878";"";"010776878";"";"010776878";"";"010776878";"";"010776878";"";"010776878";"";"010776878";"";"010776878";""
"Updates";"31/03/2026 12:00";"";"27/02/2026 12:00";"";"30/01/2026 12:00";"";"19/12/2025 12:00";"";"28/11/2025 12:00";"";"31/10/2025 12:00";"";"30/09/2025 12:00";"";"29/08/2025 12:00";"";"31/07/2025 12:00";"";"27/06/2025 12:00";"";"28/05/2025 12:00";"";"30/04/2025 12:00";"";"28/03/2025 12:00";"";"28/02/2025 12:00";"";"31/01/2025 12:00";"";"20/12/2024 12:00";"";"29/11/2024 12:00";"";"04/11/2024 15:48";"";"31/10/2024 12:00";"";"27/09/2024 12:00";"";"30/08/2024 12:00";"";"31/07/2024 12:00";"";"28/06/2024 12:00";"";"31/05/2024 12:00";"";"30/04/2024 12:00";"";"29/03/2024 12:00";"";"29/02/2024 12:00";"";"01/01/1970 01:00";""
"Period";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2025";"104.5";"A";"104.5";"A";"104.4";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024";"105.8";"A";"105.8";"A";"105.8";"A";"105.8";"A";"105.8";"A";"105.8";"A";"105.8";"A";"105.8";"A";"105.8";"A";"105.8";"A";"105.8";"A";"105.8";"A";"105.8";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023";"105.5";"A";"105.5";"A";"105.5";"A";"105.5";"A";"105.5";"A";"105.5";"A";"105.5";"A";"105.5";"A";"105.5";"A";"105.5";"A";"105.5";"A";"105.5";"A";"105.5";"A";"105.5";"A";"105.5";"A";"114.9";"A";"114.9";"A";"105.5";"A";"113.1";"A";"105.5";"A";"105.5";"A";"105.5";"A";"105.5";"A";"105.5";"A";"105.5";"A";"105.5";"A";"105.5";"A";"105.5";"A"
"2022";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A";"100.5";"A"
"2021";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A"
"2020";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A"
"2019";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A";"101.5";"A"
"2018";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A";"100.8";"A"
"2017";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A";"101.6";"A"
"2016";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A";"104.0";"A"
"2015";"105.9";"A";"105.9";"A";"105.9";"A";"105.9";"A";"105.9";"A";"105.9";"A";"105.9";"A";"105.9";"A";"105.9";"A";"105.9";"A";"105.9";"A";"105.9";"A";"105.9";"A";"105.9";"A";"105.9";"A";"105.9";"A";"105.9";"A";"105.9";"A";"105.9";"A";"105.9";"A";"105.9";"A";"105.9";"A";"105.9";"A";"105.9";"A";"105.9";"A";"105.9";"A";"99.4";"A";"105.9";"A"
