"Label";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes";"Annual agricultural means of production purchasing price index (IPAMPA) - Durum wheat seed ";"Codes"
"idBank";"010776871";"";"010776871";"";"010776871";"";"010776871";"";"010776871";"";"010776871";"";"010776871";"";"010776871";"";"010776871";"";"010776871";"";"010776871";"";"010776871";"";"010776871";"";"010776871";"";"010776871";"";"010776871";"";"010776871";"";"010776871";"";"010776871";"";"010776871";"";"010776871";"";"010776871";"";"010776871";"";"010776871";"";"010776871";"";"010776871";"";"010776871";"";"010776871";""
"Updates";"31/03/2026 12:00";"";"27/02/2026 12:00";"";"30/01/2026 12:00";"";"19/12/2025 12:00";"";"28/11/2025 12:00";"";"31/10/2025 12:00";"";"30/09/2025 12:00";"";"29/08/2025 12:00";"";"31/07/2025 12:00";"";"27/06/2025 12:00";"";"28/05/2025 12:00";"";"30/04/2025 12:00";"";"28/03/2025 12:00";"";"28/02/2025 12:00";"";"31/01/2025 12:00";"";"20/12/2024 12:00";"";"29/11/2024 12:00";"";"04/11/2024 15:48";"";"31/10/2024 12:00";"";"27/09/2024 12:00";"";"30/08/2024 12:00";"";"31/07/2024 12:00";"";"28/06/2024 12:00";"";"31/05/2024 12:00";"";"30/04/2024 12:00";"";"29/03/2024 12:00";"";"29/02/2024 12:00";"";"01/01/1970 01:00";""
"Period";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2025";"115.7";"A";"115.7";"A";"115.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024";"116.2";"A";"116.2";"A";"116.2";"A";"116.2";"A";"116.2";"A";"116.2";"A";"116.2";"A";"116.2";"A";"116.2";"A";"116.2";"A";"116.2";"A";"116.2";"A";"116.2";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023";"114.5";"A";"114.5";"A";"114.5";"A";"114.5";"A";"114.5";"A";"114.5";"A";"114.5";"A";"114.5";"A";"114.5";"A";"114.5";"A";"114.5";"A";"114.5";"A";"114.5";"A";"114.5";"A";"114.5";"A";"113.9";"A";"113.9";"A";"114.5";"A";"111.8";"A";"114.5";"A";"114.5";"A";"114.5";"A";"114.5";"A";"114.5";"A";"114.5";"A";"114.5";"A";"114.5";"A";"114.5";"A"
"2022";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A";"104.2";"A"
"2021";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A"
"2020";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A"
"2019";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A";"99.7";"A"
