"Label";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes";"Annual agricultural producer price indices (IPPAP) - Sunflower";"Codes"
"idBank";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";"";"010776433";""
"Updates";"31/03/2026 12:00";"";"27/02/2026 12:00";"";"30/01/2026 12:00";"";"19/12/2025 12:00";"";"28/11/2025 12:00";"";"31/10/2025 12:00";"";"23/10/2025 15:28";"";"30/09/2025 12:00";"";"29/08/2025 12:00";"";"31/07/2025 12:00";"";"27/06/2025 12:00";"";"28/05/2025 12:00";"";"30/04/2025 12:00";"";"28/03/2025 12:00";"";"28/02/2025 12:00";"";"31/01/2025 12:00";"";"20/12/2024 12:00";"";"29/11/2024 12:00";"";"31/10/2024 12:00";"";"27/09/2024 12:00";"";"30/08/2024 12:00";"";"31/07/2024 12:00";"";"28/06/2024 12:00";"";"31/05/2024 12:00";"";"30/04/2024 12:00";"";"29/03/2024 12:00";"";"29/02/2024 12:00";""
"Period";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2025";"134.0";"A";"134.0";"A";"134.0";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"124.3";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"124.6";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A";"123.7";"A"
"2022";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A";"182.6";"A"
"2021";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A";"144.9";"A"
"2020";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A"
"2019";"87.7";"A";"87.7";"A";"87.7";"A";"87.7";"A";"87.7";"A";"87.7";"A";"87.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
