"Label";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes";"Annual agricultural producer price indices (IPPAP) - Tomatoes";"Codes"
"idBank";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";"";"010776584";""
"Updates";"31/03/2026 12:00";"";"27/02/2026 12:00";"";"30/01/2026 12:00";"";"19/12/2025 12:00";"";"28/11/2025 12:00";"";"31/10/2025 12:00";"";"23/10/2025 15:28";"";"30/09/2025 12:00";"";"29/08/2025 12:00";"";"31/07/2025 12:00";"";"27/06/2025 12:00";"";"28/05/2025 12:00";"";"30/04/2025 12:00";"";"28/03/2025 12:00";"";"28/02/2025 12:00";"";"31/01/2025 12:00";"";"20/12/2024 12:00";"";"29/11/2024 12:00";"";"31/10/2024 12:00";"";"27/09/2024 12:00";"";"30/08/2024 12:00";"";"31/07/2024 12:00";"";"28/06/2024 12:00";"";"31/05/2024 12:00";"";"30/04/2024 12:00";"";"29/03/2024 12:00";"";"29/02/2024 12:00";""
"Period";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2025";"115.2";"A";"115.2";"A";"115.2";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"111.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"114.4";"A";"115.4";"A"
"2022";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.5";"A";"115.9";"A"
"2021";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"104.8";"A";"105.5";"A"
"2020";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A"
"2019";"96.1";"A";"96.1";"A";"96.1";"A";"96.1";"A";"96.1";"A";"96.1";"A";"96.1";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018";"85.9";"A";"85.9";"A";"85.9";"A";"85.9";"A";"85.9";"A";"85.9";"A";"85.9";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2017";"91.1";"A";"91.1";"A";"91.1";"A";"91.1";"A";"91.1";"A";"91.1";"A";"91.1";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2016";"92.7";"A";"92.7";"A";"92.7";"A";"92.7";"A";"92.7";"A";"92.7";"A";"92.7";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2015";"93.5";"A";"93.5";"A";"93.5";"A";"93.5";"A";"93.5";"A";"93.5";"A";"93.5";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2014";"89.6";"A";"89.6";"A";"89.6";"A";"89.6";"A";"89.6";"A";"89.6";"A";"89.6";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
