"Label";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes";"Annual agricultural producer price indices (IPPAP) - Durum wheat";"Codes"
"idBank";"010776426";"";"010776426";"";"010776426";"";"010776426";"";"010776426";"";"010776426";"";"010776426";"";"010776426";"";"010776426";"";"010776426";"";"010776426";"";"010776426";"";"010776426";"";"010776426";"";"010776426";"";"010776426";"";"010776426";"";"010776426";"";"010776426";"";"010776426";"";"010776426";"";"010776426";"";"010776426";"";"010776426";"";"010776426";"";"010776426";"";"010776426";""
"Updates";"31/03/2026 12:00";"";"27/02/2026 12:00";"";"30/01/2026 12:00";"";"19/12/2025 12:00";"";"28/11/2025 12:00";"";"31/10/2025 12:00";"";"23/10/2025 15:28";"";"30/09/2025 12:00";"";"29/08/2025 12:00";"";"31/07/2025 12:00";"";"27/06/2025 12:00";"";"28/05/2025 12:00";"";"30/04/2025 12:00";"";"28/03/2025 12:00";"";"28/02/2025 12:00";"";"31/01/2025 12:00";"";"20/12/2024 12:00";"";"29/11/2024 12:00";"";"31/10/2024 12:00";"";"27/09/2024 12:00";"";"30/08/2024 12:00";"";"31/07/2024 12:00";"";"28/06/2024 12:00";"";"31/05/2024 12:00";"";"30/04/2024 12:00";"";"29/03/2024 12:00";"";"29/02/2024 12:00";""
"Period";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2025";"101.1";"A";"101.1";"A";"101.1";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2024";"115.8";"A";"115.8";"A";"115.8";"A";"115.8";"A";"115.8";"A";"115.8";"A";"115.8";"A";"115.8";"A";"115.8";"A";"115.8";"A";"115.8";"A";"115.8";"A";"115.8";"A";"115.8";"A";"115.8";"A";"115.8";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2023";"146.1";"A";"146.1";"A";"146.1";"A";"146.1";"A";"146.1";"A";"146.1";"A";"146.1";"A";"146.1";"A";"146.1";"A";"146.1";"A";"146.1";"A";"146.1";"A";"146.1";"A";"146.1";"A";"146.1";"A";"146.1";"A";"146.1";"A";"146.1";"A";"146.9";"A";"146.1";"A";"146.1";"A";"146.1";"A";"146.1";"A";"146.1";"A";"146.1";"A";"146.1";"A";"146.1";"A"
"2022";"172.8";"A";"172.8";"A";"172.8";"A";"172.8";"A";"172.8";"A";"172.8";"A";"172.8";"A";"172.8";"A";"172.8";"A";"172.8";"A";"172.8";"A";"172.8";"A";"172.8";"A";"172.8";"A";"172.8";"A";"172.8";"A";"172.8";"A";"172.8";"A";"172.8";"A";"172.8";"A";"172.8";"A";"172.8";"A";"172.8";"A";"172.8";"A";"172.8";"A";"172.8";"A";"172.8";"A"
"2021";"127.3";"A";"127.3";"A";"127.3";"A";"127.3";"A";"127.3";"A";"127.3";"A";"127.3";"A";"127.3";"A";"127.3";"A";"127.3";"A";"127.3";"A";"127.3";"A";"127.3";"A";"127.3";"A";"127.3";"A";"127.3";"A";"127.3";"A";"127.3";"A";"127.3";"A";"127.3";"A";"127.3";"A";"127.3";"A";"127.3";"A";"127.3";"A";"127.3";"A";"127.3";"A";"127.3";"A"
"2020";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A";"100.0";"A"
"2019";"85.2";"A";"85.2";"A";"85.2";"A";"85.2";"A";"85.2";"A";"85.2";"A";"85.2";"A";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
