time,axis_nbounds,lat,lon,time_bounds,pr
2015-04-16 00:00:00,0.5,40.56338,-2.5,2015-04-16 00:00:00,2.266399e-05
2015-05-16 12:00:00,0.5,40.56338,-2.5,2015-05-16 12:00:00,2.2778187e-05
2015-06-16 00:00:00,0.5,40.56338,-2.5,2015-06-16 00:00:00,4.813422e-05
2015-07-16 12:00:00,0.5,40.56338,-2.5,2015-07-16 12:00:00,9.635551e-05
2016-04-16 00:00:00,0.5,40.56338,-2.5,2016-04-16 00:00:00,4.6892084e-05
2016-05-16 12:00:00,0.5,40.56338,-2.5,2016-05-16 12:00:00,2.779057e-05
2016-06-16 00:00:00,0.5,40.56338,-2.5,2016-06-16 00:00:00,3.292377e-05
2016-07-16 12:00:00,0.5,40.56338,-2.5,2016-07-16 12:00:00,4.4415727e-05
2017-04-16 00:00:00,0.5,40.56338,-2.5,2017-04-16 00:00:00,9.921762e-06
2017-05-16 12:00:00,0.5,40.56338,-2.5,2017-05-16 12:00:00,7.338006e-05
2017-06-16 00:00:00,0.5,40.56338,-2.5,2017-06-16 00:00:00,8.08734e-05
2017-07-16 12:00:00,0.5,40.56338,-2.5,2017-07-16 12:00:00,4.527709e-05
2018-04-16 00:00:00,0.5,40.56338,-2.5,2018-04-16 00:00:00,6.438588e-05
2018-05-16 12:00:00,0.5,40.56338,-2.5,2018-05-16 12:00:00,2.8458404e-05
2018-06-16 00:00:00,0.5,40.56338,-2.5,2018-06-16 00:00:00,4.214133e-05
2018-07-16 12:00:00,0.5,40.56338,-2.5,2018-07-16 12:00:00,5.5401193e-05
2019-04-16 00:00:00,0.5,40.56338,-2.5,2019-04-16 00:00:00,2.5614063e-05
2019-05-16 12:00:00,0.5,40.56338,-2.5,2019-05-16 12:00:00,1.2161452e-05
2019-06-16 00:00:00,0.5,40.56338,-2.5,2019-06-16 00:00:00,4.1565447e-05
2019-07-16 12:00:00,0.5,40.56338,-2.5,2019-07-16 12:00:00,2.5168229e-05
2020-04-16 00:00:00,0.5,40.56338,-2.5,2020-04-16 00:00:00,3.7476555e-05
