transnational_regions,time,tp,realization
11,1940-01-01,92.80843952376446,0
11,1940-02-01,80.5072671579811,0
11,1940-03-01,58.40385861776872,0
11,1940-04-01,53.44033338261701,0
11,1940-05-01,60.921716635298985,0
11,1940-06-01,77.31401810352426,0
11,1940-07-01,35.1453532759651,0
11,1940-08-01,9.484691839861576,0
11,1940-09-01,66.36240523788146,0
11,1940-10-01,101.51652377180791,0
11,1940-11-01,65.49540646406147,0
11,1940-12-01,49.86702383308894,0
11,1941-01-01,163.4661021211149,0
11,1941-02-01,101.21503995152648,0
11,1941-03-01,77.20126241644621,0
11,1941-04-01,79.93733941870425,0
11,1941-05-01,69.25547736438514,0
11,1941-06-01,35.685119774931124,0
11,1941-07-01,11.939159331224088,0
11,1941-08-01,33.700161891991364,0
11,1941-09-01,34.97924869045485,0
11,1941-10-01,27.3499579259406,0
11,1941-11-01,89.91523426864481,0
11,1941-12-01,36.59733063561616,0
11,1942-01-01,68.84684671112147,0
11,1942-02-01,46.412872853664894,0
11,1942-03-01,97.1957954124018,0
11,1942-04-01,108.30086337016218,0
11,1942-05-01,41.25716516825511,0
11,1942-06-01,30.31948733819128,0
11,1942-07-01,10.542082456075347,0
11,1942-08-01,16.840224327475333,0
11,1942-09-01,65.2957287487043,0
11,1942-10-01,91.32659453960281,0
11,1942-11-01,57.81692427470435,0
11,1942-12-01,74.0905101810804,0
11,1943-01-01,96.8505685736997,0
11,1943-02-01,37.94439905215414,0
11,1943-03-01,84.4216753252482,0
11,1943-04-01,44.4979668040234,0
11,1943-05-01,48.21540573379794,0
11,1943-06-01,16.951093926938267,0
11,1943-07-01,26.748038894492897,0
11,1943-08-01,11.512470217966627,0
11,1943-09-01,65.79970404808648,0
11,1943-10-01,82.41121451692487,0
11,1943-11-01,52.57548388761214,0
11,1943-12-01,83.60085277285052,0
11,1944-01-01,12.521770138512228,0
11,1944-02-01,56.702536616510606,0
11,1944-03-01,23.755855958871486,0
11,1944-04-01,71.14118503248335,0
11,1944-05-01,50.89140208814689,0
11,1944-06-01,47.66781087497917,0
11,1944-07-01,24.305417941289537,0
